node,x,y,z,lumped_control_volume,previous_indicator,low_order_indicator,raw_target_indicator,limited_indicator,physical_boundary_transfer,discrete_divergence_source,low_order_interior_transfer,raw_antidiffusive_transfer,limited_antidiffusive_transfer,limited_balance_residual,courant,component_id
28195,0.40625,0.90625,0.78125,3.0517578124999983e-05,4.2244800405792811e-06,5.4526222174289287e-06,3.9603974643421415e-06,3.865219862309434e-06,8.4456790156737061e-28,2.2175217787761793e-27,3.7479924830616673e-11,-4.5539085482384837e-11,-4.8443675388168156e-11,0,0.26721797164866573,79
28196,0.4375,0.90625,0.78125,3.0517578124999983e-05,9.8552600145953137e-07,2.8301545007557983e-06,2.8114957533395809e-07,2.6969586998962532e-07,1.7814851446309414e-28,7.4071406475432122e-28,5.6293594338875296e-11,-7.7789456952570769e-11,-7.8138996300237175e-11,1.2924697071141057e-26,0.26960635860331233,79
28197,0.46875,0.90625,0.78125,3.0517578124999983e-05,9.774564373062056e-13,2.7500326417740044e-06,5.2418171771996917e-08,5.2418152454269602e-08,1.5361599818776827e-34,-1.5159424633456517e-34,8.3924306162035076e-11,-8.232466033941668e-11,-8.2324660928946932e-11,-8.0779356694631609e-28,0.26657114680767402,79
28198,0.5,0.90625,0.78125,3.0517578124999983e-05,9.6433041754944606e-07,3.3822243369697746e-06,1.2234758928185464e-06,1.2107815187175699e-06,1.2537408363115423e-28,-6.3274760512272194e-28,7.3788266583872291e-11,-6.5879774296607266e-11,-6.6267175849981793e-11,-4.8467614016778965e-27,0.25875329376816003,79
28199,0.53125,0.90625,0.78125,3.0517578124999983e-05,4.6425467118297092e-07,2.5352004969389834e-06,1.7417766433571371e-07,1.6763317101642782e-07,4.6595396660198986e-29,2.3815883244469831e-28,6.3200251030151724e-11,-7.2052698748879042e-11,-7.225242083503889e-11,-8.0779356694631609e-27,0.26657114680767408,79
28200,0.5625,0.90625,0.78125,3.0517578124999983e-05,1.5575982987940922e-14,1.8500224634221561e-06,-4.0199068055224239e-07,7.2868931551219214e-16,1.0803756826665035e-36,3.3447982250683374e-36,5.6458204585149293e-11,-6.8725987059765539e-11,-5.6458205038252737e-11,2.8888949165808538e-34,0.26960635860331228,79
28201,0.59375,0.90625,0.78125,3.0517578124999983e-05,-3.8835147730541426e-16,1.6407035656017323e-06,-1.6264319997970143e-07,-3.8835338312954559e-16,-1.4831086423517562e-38,-8.3394886409383075e-38,5.007029925506845e-11,-5.5033775805097434e-11,-5.0070299255068508e-11,3.4438311059246704e-41,0.26721797164866573,79
28202,0.625,0.90625,0.78125,3.0517578124999983e-05,-3.8813442511268035e-16,1.352459273050413e-06,-8.7964929436236355e-08,-3.8834131291004721e-16,-3.1239357692744827e-39,3.7043678426371514e-38,4.1273781538041583e-11,-4.3958258132527115e-11,-4.1273781538047896e-11,3.6734198463196485e-39,0.25949777031497856,79
28203,0.65625,0.90625,0.78125,3.0517578124999983e-05,-3.8784918676769246e-16,1.0089951190506705e-06,-1.2065418212927585e-07,-3.8812256665141879e-16,7.7196871449342429e-39,5.9920386829104038e-37,3.0792087385208713e-11,-3.4474160802610649e-11,-3.0792087385217055e-11,4.4081038155835782e-39,0.24685154187207053,79
28204,0.6875,0.90625,0.78125,3.0517578124999983e-05,-3.8774627226460107e-16,7.0338854126949778e-07,-9.7996585369384137e-08,-3.8784950440504768e-16,1.729086200682137e-38,1.1564572809265966e-37,2.1465714772254749e-11,-2.4456333210415084e-11,-2.14657147722579e-11,1.8367099231598242e-39,0.22973742919211604,79
