node,x,y,z,lumped_control_volume,previous_indicator,low_order_indicator,raw_target_indicator,limited_indicator,physical_boundary_transfer,discrete_divergence_source,low_order_interior_transfer,raw_antidiffusive_transfer,limited_antidiffusive_transfer,limited_balance_residual,courant,component_id
106,0.640625,0.015625,0,0.00024414062499999989,0,0,-5.3852415372515573e-37,0,0,0,0,-1.3147562346805554e-40,0,0,0.24615384615384622,-1
107,0.65625,0.015625,0,0.00024414062499999989,4.6093632353664949e-40,3.6919048684012044e-39,2.140667452634329e-39,2.0933919322715956e-39,3.8442166411993601e-61,2.4026354007495997e-60,7.888106798985725e-43,-3.7872007220870967e-43,-3.9026194729726763e-43,1.5930919111324523e-58,0.24615384615384622,-1
108,0.671875,0.015625,0,0.00024414062499999989,0,1.0770483074503115e-36,6.9121707200864783e-37,6.9121707200864783e-37,0,0,2.6295124693611107e-40,-9.4197078965249867e-41,-9.4197078965249867e-41,0,0.24615384615384622,-1
109,0.6875,0.015625,0,0.00024414062499999989,-6.4228786067775569e-41,-6.345108780382504e-41,2.5393122470024866e-38,-7.9050813621877653e-42,-5.356691491599152e-62,-3.3479321822494698e-61,1.8986774022229578e-46,6.214983778766767e-42,1.3561036728915345e-44,2.4892061111444567e-60,0.24615384615384622,-1
110,0.703125,0.015625,0,0.00024414062499999989,-1.2600636977265378e-38,-3.1488477828830741e-37,-1.7913315561879373e-37,-1.7784861573336853e-37,-1.0508952296501773e-59,-6.5680951853136076e-59,-7.3799839187266092e-41,3.3142486003299224e-41,3.345609437376436e-41,5.0978941156238473e-57,0.24615384615384622,-1
111,0.71875,0.015625,0,0.00024414062499999989,3.1593991973063602e-42,-5.0927353275712296e-38,-2.8073939418643221e-38,-2.8073967754989543e-38,2.6349442103603959e-63,1.6468401314752475e-62,-1.2434207196022846e-41,5.5794467424485022e-42,5.5794398243952007e-42,-1.2744735289059618e-57,0.24615384615384622,-1
112,0.734375,0.015625,0,0.00024414062499999989,1.2735840569292014e-39,2.8639287158988321e-38,1.4966750312682075e-38,1.4966750312682075e-38,1.0621712318196483e-60,6.6385701988728013e-60,6.6810798589011499e-42,-3.3380216909927344e-42,-3.3380216909927344e-42,0,0.24615384615384622,-1
113,0.75,0.015625,0,0.00024414062499999989,1.0657706625580164e-40,5.3048053705205499e-39,2.7160864518496716e-39,2.714512210387475e-39,8.8885451362824388e-62,5.5553407101765234e-61,1.2690987070958852e-42,-6.3201145475363206e-43,-6.3239579104811366e-43,-7.9654595556622614e-59,0.24615384615384622,-1
114,0.765625,0.015625,0,0.00024414062499999989,1.2637596789225481e-42,2.9382088494005961e-40,1.4767193868681649e-40,1.4767193868681649e-40,1.0539776841441618e-63,6.5873605259010109e-63,7.1425079409457257e-44,-3.5680895081358168e-44,-3.5680895081358168e-44,4.9784122222889134e-60,0.24615384615384622,-1
115,0.78125,0.015625,0,0.00024414062499999989,0,5.4438878476663647e-42,2.7219439238331823e-42,2.7219439238331823e-42,0,0,1.3290741815591704e-45,-6.6453709077958522e-46,-6.6453709077958522e-46,0,0.24615384615384622,-1
